user_id	item_id	rating
1073	35274	1.0
57	57353	1.0
195	8876	1.0
6819	25261	1.0
44	27089	1.0
13023	27467	1.5
1458	4282	1.0
915	1090	1.0
6726	3540	1.0
12341	25719	1.0
23152	56663	3.5
14468	31357	1.0
2127	48683	1.0
2225	19030	1.0
15531	41514	1.0
1652	30318	1.0
6519	1534	2.5
270	56893	1.0
5213	6977	1.0
107	3741	3.5
26246	9879	1.0
1665	46460	3.5
2109	36822	1.0
334	26464	1.0
2586	26860	1.0
19309	7495	1.0
2109	65648	1.0
16636	37249	2.5
48	1218	1.0
7209	11243	1.0
155	13553	2.5
6102	10508	1.0
3922	24570	3.0
10147	53190	1.0
2716	14066	2.5
107	53250	3.0
17546	40052	2.5
1203	36349	1.0
25	16051	1.0
166	1680	1.0
1084	31774	4.0
202	30399	1.0
2475	3445	1.0
5085	34319	1.0
303	26881	1.0
1092	1332	1.0
823	4885	1.0
269	9130	1.0
26192	66174	1.0
11087	22496	4.5
6783	11993	1.0
18111	24588	3.5
3868	8647	4.0
26512	2645	1.0
3038	51096	1.0
14271	30780	4.0
14000	14615	4.0
1203	50886	1.0
9448	9784	1.0
17094	44750	3.0
1152	12742	1.0
1073	34192	1.0
934	24981	1.0
169	16121	1.0
770	2137	1.0
1702	159	3.0
1	40860	2.5
1	43985	1.0
2153	3447	1.0
2671	3849	1.0
3833	64467	1.0
749	11305	2.5
3098	28191	1.0
4219	2645	1.0
2201	3010	1.0
1819	29769	1.0
7736	14161	4.0
321	22194	1.0
231	46256	1.0
10516	31577	1.0
645	58270	1.0
1819	1716	1.0
1090	1330	1.0
14923	2757	1.0
14390	31118	1.0
8144	36599	2.5
254	53487	3.5
4805	30104	3.0
423	59446	3.0
4673	40815	1.0
26481	51116	1.5
67	27450	1.0
161	32141	1.0
23288	57085	1.0
64	6048	1.0
270	609	3.0
4797	7750	4.0
5493	9243	3.5
15228	32572	3.0
8860	11012	1.0
919	2565	1.0
8367	29059	1.0
15426	36608	5.0
20940	49884	3.5
14116	30390	1.0
4021	15914	5.0
23142	1117	4.0
218	22076	1.0
4063	6292	3.0
23243	24931	5.0
17079	61139	4.0
2966	17790	1.0
4855	25247	1.0
8017	12081	1.0
1423	18029	1.0
223	15516	1.0
15997	19223	4.0
7786	17213	5.0
3345	831	1.0
11398	64150	5.0
1404	4284	1.0
3371	3881	4.5
1803	43278	1.0
2256	60171	5.0
122	8417	1.0
122	45614	1.0
1554	62307	1.0
400	58686	1.0
1943	5003	1.0
1803	40007	1.0
9413	18276	3.0
16872	45496	1.0
128	14193	1.0
14237	11379	1.0
1309	40408	4.0
238	23488	1.0
5039	7237	3.5
1021	11496	1.0
25733	30979	3.0
947	35062	4.0
279	52827	1.0
112	28775	1.0
10149	20056	4.0
26319	5003	1.0
1773	36065	1.0
7468	13483	5.0
518	44039	1.0
989	30459	1.0
2776	30414	1.0
2871	502	4.0
187	24845	4.5
5103	4703	4.5
4102	6393	2.5
534	52573	1.0
1	38265	4.0
4330	54704	1.0
18840	43825	1.0
13883	34481	1.0
11099	22528	1.0
270	48570	3.5
13412	6942	5.0
393	50354	1.0
1845	623	4.5
45	3146	1.0
